Pred. Values,New Pred. Values,Actual Values
11.59,11.84,5
26.68,25.65,29
35.77,35.5,31
36.14,34.9,32
35.47,35.65,43
36.1,36.63,28
12.57,14.6,10
27.73,27.93,30
33.64,33.1,31
12.74,12.45,6
43.75,41.71,42
32.67,33.21,41
22.57,23.69,22
22.31,22.36,28
32.17,31.67,32
36.96,38.27,44
37.72,36.75,43
23.89,24.27,19
38.44,39.3,52
30.12,28.87,27
41.09,40.95,52
20.32,21.15,19
31.4,32.45,29
22.67,23.13,17
32.65,33.32,32
33.6,32.84,23
16.28,16.08,10
28.65,28.53,24
21.14,21.49,16
22.73,22.31,26
39.21,38.92,41
34.01,34.79,31
29.86,29.25,27
29.86,30.12,30
32.8,31.78,35
17.98,18.25,17
25.83,26.79,30
37.27,36.15,36
16.43,16.96,19
41.7,42.43,45
30.24,31.15,33
33.53,31.95,22
42.89,42.16,57
18.23,18.07,14
37.75,36.12,27
30.34,31.1,25
34.99,33.58,39
47.71,46.09,62
12.75,12.47,11
23.41,22.01,24
29.73,30.08,28
19.31,17.63,25
13.25,12.8,11
22.68,23.71,29
29.95,28.97,25
12.87,12.78,16
35.24,34.96,36
34.38,36.06,31
28.98,29.08,28
19.39,19.71,14
32.5,32.03,35
33.03,33.25,32
31.15,31.95,28
38.72,37.7,36
34.46,33.81,22
22.5,22.46,23
31.97,31.9,35
34.83,34.7,22
41.34,39.35,35
32.8,33.81,24
33.12,33.4,29
41.47,42.05,32
36.18,36.02,26
24.14,24.76,17
41.2,41.0,43
21.96,21.54,24
28.91,29.99,25
12.91,12.6,15
33.21,33.56,16
31.53,27.87,29
40.19,40.09,29
30.11,31.91,23
29.81,30.21,27
35.68,35.76,35
36.66,36.86,34
32.58,32.41,30
32.82,32.72,30
40.57,38.85,23
13.58,13.34,12
45.71,44.52,41
33.73,33.65,30
31.4,32.59,31
34.3,34.45,37
34.9,33.73,34
32.76,32.89,38
12.93,12.15,11
29.89,31.11,45
46.8,47.79,39
32.81,35.04,26
35.23,35.89,49
15.62,17.47,8
14.39,14.35,19
22.48,21.43,22
19.36,19.11,17
34.46,33.85,33
35.74,34.83,26
35.13,34.77,28
25.52,25.21,23
34.45,34.45,29
30.72,30.08,30
37.86,38.59,44
13.12,13.82,15
40.59,38.7,33
31.62,32.66,36
36.45,34.39,41
12.52,12.35,10
35.22,33.36,36
28.82,29.47,16
32.8,32.98,23
28.98,29.41,36
28.26,27.86,33
32.56,33.22,31
17.65,16.49,16
12.09,12.74,8
29.76,31.23,37
14.76,15.58,15
35.97,35.7,39
36.17,38.23,29
49.47,49.9,49
13.26,12.57,19
21.71,20.39,25
34.62,35.89,42
51.07,49.52,45
37.95,38.26,51
36.12,35.09,28
40.9,41.13,37
44.38,44.44,50
33.65,34.16,31
32.34,32.59,23
35.16,34.56,40
42.05,40.59,41
13.07,13.42,11
12.13,12.44,12
28.95,28.8,32
12.52,13.53,13
13.51,12.84,12
24.23,23.67,18
33.6,32.42,32
32.07,32.27,31
23.52,24.98,17
36.75,38.48,42
37.36,37.03,39
14.29,13.95,14
31.49,31.13,30
32.14,31.07,27
37.53,36.76,36
