Pred. Values,New Pred. Values,Actual Values
29.0,40.7,21
18.0,24.6,19
42.0,29.55,27
41.0,34.56,39
39.0,32.81,33
10.0,12.83,16
31.0,34.29,38
28.0,19.28,19
25.0,34.56,24
32.0,34.56,34
57.0,33.41,48
52.0,57.31,52
22.0,16.77,7
31.0,36.55,28
9.0,18.16,9
31.0,28.93,30
36.0,34.56,31
56.0,47.85,55
25.0,37.96,31
48.0,31.62,28
30.0,26.34,27
29.0,26.34,31
32.0,31.62,27
26.0,34.56,21
15.0,12.83,5
31.0,28.93,29
34.0,37.94,31
38.0,34.03,32
31.0,37.43,43
42.0,37.96,28
13.0,16.77,10
28.0,32.04,30
33.0,34.29,31
13.0,12.83,6
34.0,45.62,42
24.0,26.55,41
34.0,22.69,22
23.0,24.6,28
31.0,32.81,32
51.0,36.55,44
34.0,36.55,43
28.0,23.59,19
45.0,37.96,52
40.0,26.34,27
37.0,41.15,52
31.0,16.77,19
32.0,34.56,29
20.0,22.79,17
32.0,33.46,32
38.0,34.56,23
17.0,16.77,10
20.0,26.34,24
21.0,23.59,16
32.0,22.79,26
44.0,37.96,41
28.0,34.47,31
33.0,29.69,27
45.0,30.03,30
39.0,32.81,35
15.0,16.77,17
33.0,29.55,30
48.0,40.7,36
9.0,18.16,19
35.0,41.36,45
31.0,29.55,33
29.0,31.62,22
37.0,45.62,57
12.0,16.77,14
38.0,36.55,27
40.0,26.55,25
23.0,32.81,39
41.0,41.36,62
8.0,12.83,11
28.0,26.55,24
30.0,30.03,28
22.0,16.77,25
8.0,12.83,11
28.0,19.28,29
48.0,32.84,25
11.0,13.87,16
34.0,34.56,36
39.0,37.43,31
30.0,29.55,28
28.0,18.16,14
35.0,32.81,35
43.0,31.1,32
40.0,32.81,28
32.0,40.7,36
32.0,34.56,22
28.0,22.79,23
41.0,31.59,35
37.0,32.81,22
44.0,41.15,35
26.0,33.46,24
29.0,34.47,29
35.0,47.85,32
30.0,32.25,26
25.0,24.6,17
32.0,41.15,43
29.0,20.72,24
31.0,32.81,25
8.0,12.83,15
22.0,39.64,16
34.0,26.55,29
34.0,41.15,29
24.0,31.62,23
28.0,26.55,27
30.0,32.25,35
36.0,37.96,34
30.0,32.84,30
31.0,33.46,30
42.0,41.15,23
7.0,12.83,12
46.0,41.36,41
32.0,34.03,30
31.0,32.81,31
36.0,34.56,37
30.0,32.25,34
38.0,32.81,38
20.0,12.83,11
37.0,33.41,45
39.0,41.36,39
30.0,34.47,26
30.0,33.41,49
14.0,15.74,8
15.0,13.87,19
29.0,22.79,22
15.0,19.28,17
45.0,33.41,33
23.0,37.43,26
39.0,37.43,28
30.0,26.55,23
43.0,32.25,29
30.0,28.93,30
38.0,40.7,44
11.0,12.83,15
48.0,40.7,33
26.0,33.46,36
39.0,34.29,41
12.0,12.83,10
35.0,34.47,36
20.0,29.69,16
33.0,31.62,23
24.0,31.1,36
22.0,24.6,33
33.0,34.47,31
12.0,16.77,16
11.0,12.83,8
33.0,31.1,37
12.0,16.77,15
36.0,36.55,39
32.0,41.15,29
44.0,47.85,49
19.0,12.83,19
25.0,20.72,25
40.0,34.56,42
37.0,57.31,45
27.0,40.7,51
41.0,34.56,28
33.0,37.96,37
59.0,57.31,50
43.0,34.56,31
34.0,34.29,23
43.0,32.81,40
40.0,41.15,41
11.0,13.87,11
8.0,12.83,12
33.0,29.55,32
17.0,13.87,13
14.0,12.83,12
21.0,23.59,18
44.0,30.7,32
40.0,34.29,31
16.0,26.98,17
38.0,41.15,42
30.0,37.94,39
8.0,13.87,14
27.0,31.59,30
29.0,32.84,27
41.0,36.55,36
29.0,34.03,31
25.0,32.81,38
59.0,52.39,63
25.0,32.84,27
35.0,29.69,40
26.0,24.6,26
32.0,28.93,21
17.0,19.28,22
35.0,32.25,33
31.0,22.79,32
34.0,32.04,28
27.0,26.34,23
28.0,31.1,32
29.0,31.1,32
46.0,40.7,45
22.0,19.28,17
29.0,37.96,22
12.0,13.87,17
29.0,41.15,43
23.0,22.79,17
27.0,23.52,28
31.0,32.81,15
20.0,22.79,23
15.0,29.55,17
38.0,23.59,18
27.0,32.81,27
9.0,18.16,13
22.0,26.55,12
36.0,26.34,20
45.0,37.96,40
44.0,41.15,42
35.0,37.43,22
20.0,22.79,23
25.0,31.62,32
30.0,35.92,48
19.0,13.87,20
25.0,12.83,13
29.0,34.56,36
49.0,37.96,31
43.0,31.1,33
45.0,34.56,45
22.0,26.55,34
14.0,12.83,6
21.0,26.55,24
46.0,34.56,40
26.0,36.55,37
32.0,26.55,42
35.0,34.56,37
38.0,32.04,29
30.0,41.15,30
25.0,31.1,22
31.0,16.77,11
28.0,29.55,24
16.0,19.28,21
32.0,31.1,32
36.0,32.81,31
40.0,33.41,35
29.0,34.29,38
52.0,33.41,50
30.0,41.15,53
10.0,16.77,13
37.0,32.81,40
36.0,39.64,31
26.0,26.98,18
24.0,31.1,38
20.0,22.69,22
51.0,34.56,25
31.0,22.79,19
30.0,31.62,23
39.0,29.55,35
16.0,12.83,11
30.0,41.15,43
12.0,12.83,7
42.0,41.15,31
32.0,32.81,26
46.0,47.85,38
45.0,32.81,41
53.0,57.31,48
32.0,31.1,30
20.0,16.77,23
37.0,36.55,37
22.0,26.34,23
32.0,32.25,40
21.0,20.72,27
12.0,12.83,19
23.0,34.47,20
20.0,12.83,15
31.0,37.43,38
21.0,34.56,31
28.0,41.15,40
18.0,12.83,13
37.0,36.55,36
23.0,32.84,24
9.0,16.77,18
39.0,33.46,26
35.0,41.15,37
31.0,29.55,31
24.0,29.69,30
40.0,36.55,40
17.0,16.77,20
9.0,12.83,13
12.0,12.83,9
20.0,13.87,12
35.0,28.93,36
36.0,33.46,30
40.0,37.96,41
32.0,32.84,29
33.0,31.1,33
27.0,31.62,27
16.0,13.87,12
36.0,33.46,21
10.0,12.83,4
39.0,29.69,23
35.0,47.85,53
48.0,40.7,38
27.0,30.03,38
31.0,22.79,34
43.0,39.64,24
27.0,24.6,22
46.0,40.7,34
19.0,13.87,9
30.0,41.36,46
